Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2111,Mario Party Advance,GBA,2005.0,Misc,Nintendo,0.5,0.19,0.28,0.02,0.98
2206,Mario Tennis Open,3DS,2012.0,Sports,Nintendo,0.26,0.29,0.33,0.05,0.94
2592,Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,2013.0,Sports,Nintendo,0.39,0.22,0.13,0.06,0.8
2773,Mario & Luigi: Paper Jam,3DS,2015.0,Role-Playing,Nintendo,0.16,0.3,0.25,0.04,0.74
2956,Mario Pinball Land,GBA,2004.0,Misc,Nintendo,0.5,0.18,0.0,0.01,0.69
3273,Mario's Picross,GB,1995.0,Puzzle,Nintendo,0.0,0.0,0.62,0.0,0.62
3570,Classic NES Series: Dr. Mario,GBA,2004.0,Puzzle,Nintendo,0.31,0.11,0.13,0.01,0.56
3824,Mario Tennis: Power Tour,GBA,2005.0,Sports,Nintendo,0.24,0.09,0.19,0.01,0.52
4043,Mario & Wario,SNES,1993.0,Puzzle,Nintendo,0.0,0.0,0.49,0.0,0.49
4093,Mario Golf: World Tour,3DS,2014.0,Sports,Nintendo,0.15,0.14,0.17,0.03,0.48
4223,Dance Dance Revolution: Mario Mix,GC,2005.0,Misc,Nintendo,0.36,0.09,0.0,0.01,0.47
4263,Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016.0,Action,Nintendo,0.04,0.16,0.24,0.01,0.46
6590,Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016.0,Action,Nintendo,0.03,0.11,0.1,0.01,0.26
4301,Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015.0,Puzzle,Nintendo,0.05,0.05,0.34,0.01,0.46
4402,Mario Tennis Ultra Smash,WiiU,2015.0,Sports,Nintendo,0.13,0.16,0.13,0.03,0.45
4406,Mario Golf: Advance Tour,GBA,2004.0,Sports,Nintendo,0.32,0.12,0.0,0.01,0.45
4590,Famicom Mini: Super Mario Bros. 2,GBA,2004.0,Platform,Nintendo,0.0,0.0,0.41,0.01,0.42
4625,Dr. Mario 64,N64,2001.0,Puzzle,Nintendo,0.34,0.07,0.0,0.0,0.42
4767,Mario no Super Picross,SNES,1995.0,Puzzle,Nintendo,0.0,0.0,0.41,0.0,0.41
5569,Dr. Mario / Puzzle League,GBA,2005.0,Puzzle,Nintendo,0.12,0.04,0.16,0.01,0.33
1290,Mario Golf,N64,1999.0,Action,Nintendo,0.62,0.18,0.65,0.02,1.47
5718,Mario Golf,GB,1999.0,Action,Nintendo,0.0,0.0,0.31,0.0,0.31
4263,Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016.0,Action,Nintendo,0.04,0.16,0.24,0.01,0.46
6590,Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016.0,Action,Nintendo,0.03,0.11,0.1,0.01,0.26
11284,Famicom Mini: Mario Bros.,GBA,2004.0,Platform,Nintendo,0.0,0.0,0.08,0.0,0.08
685,Mario Tennis,N64,2000.0,Sports,Nintendo,0.78,0.4,1.06,0.07,2.32
1712,Mario Tennis,GB,2000.0,Sports,Nintendo,0.5,0.18,0.44,0.06,1.18
12125,Mario Tennis,Wii,2010.0,Sports,Nintendo,0.0,0.06,0.0,0.01,0.07
15264,Mario Tennis,3DS,,Sports,,0.0,0.0,0.02,0.0,0.02
12375,Mario vs. Donkey Kong: Tipping Stars,3DS,2015.0,Puzzle,Nintendo,0.0,0.0,0.06,0.0,0.06
16360,Mario vs. Donkey Kong: Tipping Stars,WiiU,2015.0,Puzzle,Nintendo,0.0,0.0,0.01,0.0,0.01
12772,Dance Dance Revolution: Mario Mix (JP sales),GC,2005.0,Simulation,Nintendo,0.0,0.0,0.05,0.0,0.06
13275,Detective Conan: Marionette Symphony,3DS,2013.0,Adventure,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
685,Mario Tennis,N64,2000.0,Sports,Nintendo,0.78,0.4,1.06,0.07,2.32
1712,Mario Tennis,GB,2000.0,Sports,Nintendo,0.5,0.18,0.44,0.06,1.18
12125,Mario Tennis,Wii,2010.0,Sports,Nintendo,0.0,0.06,0.0,0.01,0.07
15264,Mario Tennis,3DS,,Sports,,0.0,0.0,0.02,0.0,0.02
12375,Mario vs. Donkey Kong: Tipping Stars,3DS,2015.0,Puzzle,Nintendo,0.0,0.0,0.06,0.0,0.06
16360,Mario vs. Donkey Kong: Tipping Stars,WiiU,2015.0,Puzzle,Nintendo,0.0,0.0,0.01,0.0,0.01
16545,Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,2015.0,Misc,Nintendo,0.0,0.0,0.01,0.0,0.01
